,addr_state,annual_inc,emp_length,emp_title,home_ownership,installment,loan_amnt,purpose,term,int_rate,avg_cur_bal,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_last_delinq,num_bc_tl,num_il_tl,num_op_rev_tl,num_tl_90g_dpd_24m,num_tl_op_past_12m,open_acc,percent_bc_gt_75,pub_rec_bankruptcies,total_acc,total_bal_ex_mort,loan_status
7782,MI,30000.0,10+ years,coordinator/biller,OWN,237.82,7000,credit_card,36 months,0.1358,11681.0,129.0,147.0,14.0,11.0,1,40.0,3.0,6.0,4.0,0.0,1.0,6,50.0,0,13,28139.0,Fully Paid
7783,WI,46600.0,3 years,demand gen rep,MORTGAGE,381.4,15000,credit_card,60 months,0.1806,11213.0,119.0,85.0,8.0,7.0,2,31.0,3.0,24.0,12.0,0.0,4.0,17,33.3,0,41,96935.0,Fully Paid
7784,AR,60840.0,9 years,senior it business partner,MORTGAGE,202.76,6500,debt_consolidation,36 months,0.0769,22076.0,141.0,277.0,1.0,1.0,5,0.0,9.0,18.0,9.0,0.0,3.0,15,14.3,0,35,79484.0,Fully Paid
7785,FL,36000.0,10+ years,school staff,MORTGAGE,191.25,6000,car,36 months,0.0916,1813.0,123.0,248.0,6.0,3.0,0,0.0,18.0,6.0,6.0,0.0,3.0,7,33.3,2,30,10877.0,Fully Paid
7786,MI,130000.0,10+ years,manager,MORTGAGE,503.18,15000,debt_consolidation,36 months,0.1269,33501.0,153.0,356.0,42.0,9.0,8,5.0,4.0,10.0,3.0,0.0,2.0,7,100.0,0,24,37997.0,Fully Paid
7787,MO,135420.0,4 years,manager,MORTGAGE,599.96,27600,credit_card,60 months,0.1099,26936.0,135.0,267.0,7.0,7.0,3,18.0,10.0,8.0,7.0,0.0,1.0,12,100.0,0,32,75308.0,Fully Paid
7788,MN,98000.0,2 years,engineer,OWN,1247.68,35000,credit_card,36 months,0.1699,7803.0,115.0,335.0,1.0,1.0,2,46.0,14.0,4.0,27.0,0.0,4.0,29,90.9,0,42,53649.0,Charged Off
7789,LA,56000.0,10+ years,school staff,MORTGAGE,582.18,26000,debt_consolidation,60 months,0.1229,17720.0,127.0,588.0,7.0,7.0,4,16.0,14.0,2.0,10.0,0.0,2.0,11,28.6,0,28,11604.0,Fully Paid
7790,CA,84000.0,10+ years,e-7,RENT,458.2,12750,debt_consolidation,36 months,0.1757,6493.0,131.0,186.0,6.0,6.0,2,1.0,7.0,23.0,8.0,0.0,4.0,11,33.3,0,41,71423.0,Charged Off
7792,NY,84880.0,2 years,associate producer,RENT,180.69,6000,credit_card,36 months,0.0532,2493.0,114.0,131.0,6.0,6.0,0,0.0,9.0,4.0,10.0,0.0,1.0,11,0.0,0,18,22439.0,Fully Paid
7793,CA,55000.0,2 years,attorney,RENT,344.32,13600,credit_card,60 months,0.1786,50976.0,103.0,110.0,4.0,4.0,0,0.0,6.0,34.0,4.0,0.0,1.0,6,75.0,0,41,305856.0,Charged Off
7796,LA,100000.0,8 years,director,MORTGAGE,673.79,20000,debt_consolidation,36 months,0.1299,52756.0,137.0,168.0,6.0,6.0,1,25.0,8.0,2.0,4.0,0.0,2.0,5,66.7,0,21,19927.0,Fully Paid
7797,DC,70000.0,3 years,nurse,MORTGAGE,172.48,5000,home_improvement,36 months,0.1465,4334.0,136.0,184.0,1.0,1.0,0,45.0,6.0,11.0,6.0,0.0,4.0,13,20.0,0,18,56347.0,Fully Paid
7798,VA,40000.0,10+ years,school staff,MORTGAGE,633.96,16000,small_business,36 months,0.2474,5659.0,137.0,258.0,10.0,10.0,3,42.0,10.0,11.0,7.0,0.0,2.0,10,40.0,0,29,50931.0,Fully Paid
7800,MD,55000.0,10+ years,paint-foreman,OWN,528.19,24000,debt_consolidation,60 months,0.1153,4998.0,164.0,271.0,15.0,15.0,0,0.0,2.0,6.0,5.0,0.0,0.0,6,100.0,0,11,24988.0,Charged Off
7801,GA,84700.0,1 year,manager,MORTGAGE,290.15,8800,debt_consolidation,36 months,0.1149,44887.0,158.0,77.0,6.0,4.0,2,36.0,6.0,31.0,5.0,0.0,4.0,11,100.0,0,41,184163.0,Fully Paid
7803,CO,52800.0,< 1 year,plumber,RENT,920.91,30000,debt_consolidation,60 months,0.2727,2029.0,9.0,77.0,5.0,5.0,0,0.0,9.0,1.0,8.0,0.0,4.0,9,28.6,0,13,18258.0,Charged Off
7804,NY,70000.0,10+ years,security,RENT,633.42,19200,debt_consolidation,36 months,0.1153,2184.0,185.0,186.0,4.0,4.0,0,8.0,14.0,10.0,15.0,0.0,3.0,17,20.0,0,40,37133.0,Fully Paid
7805,CA,80000.0,1 year,rn bsn,RENT,603.85,24000,other,60 months,0.1757,8107.0,104.0,93.0,16.0,16.0,0,48.0,5.0,6.0,4.0,0.0,0.0,6,50.0,0,14,48644.0,Fully Paid
7806,CA,85000.0,10+ years,inside wireman,MORTGAGE,470.22,21000,debt_consolidation,60 months,0.1229,79692.0,159.0,247.0,14.0,7.0,3,36.0,6.0,1.0,3.0,0.0,1.0,4,100.0,0,15,12758.0,Fully Paid
7807,PA,59000.0,10+ years,foreman,MORTGAGE,307.31,10000,debt_consolidation,36 months,0.0668,7567.0,122.0,150.0,2.0,2.0,1,72.0,16.0,7.0,8.0,0.0,3.0,11,0.0,0,28,47030.0,Fully Paid
7808,HI,40000.0,2 years,installer,RENT,134.18,4000,debt_consolidation,36 months,0.1269,6091.0,30.0,44.0,0.0,0.0,0,0.0,2.0,2.0,3.0,0.0,2.0,4,50.0,0,5,24363.0,Fully Paid
7809,CT,68000.0,10+ years,educator,OWN,738.22,20125,debt_consolidation,36 months,0.1905,1590.0,151.0,185.0,2.0,2.0,0,28.0,17.0,20.0,16.0,0.0,5.0,18,23.1,1,42,28626.0,Charged Off
7810,TN,110000.0,3 years,manager,OWN,1032.93,30000,credit_card,36 months,0.1452,17832.0,142.0,193.0,3.0,1.0,1,0.0,12.0,26.0,18.0,0.0,5.0,23,83.3,0,47,119799.0,Fully Paid
7811,PA,65000.0,10+ years,admin officer/administrator,MORTGAGE,681.76,21000,debt_consolidation,36 months,0.1042,26816.0,131.0,392.0,10.0,10.0,4,0.0,7.0,8.0,7.0,0.0,1.0,9,100.0,0,21,46034.0,Charged Off
7812,WA,98000.0,10+ years,agent,RENT,413.32,17000,debt_consolidation,60 months,0.1599,10093.0,198.0,202.0,3.0,3.0,1,56.0,5.0,3.0,5.0,0.0,4.0,7,0.0,1,11,70657.0,Fully Paid
7814,CA,150000.0,9 years,it,RENT,863.16,28000,credit_card,36 months,0.0689,12392.0,229.0,160.0,13.0,7.0,0,0.0,11.0,8.0,8.0,0.0,1.0,10,75.0,0,25,111531.0,Fully Paid
7815,WY,70000.0,1 year,rn,RENT,476.33,20000,debt_consolidation,60 months,0.1505,9138.0,146.0,177.0,13.0,13.0,2,36.0,8.0,11.0,16.0,0.0,0.0,20,16.7,0,31,50824.0,Fully Paid
7816,FL,170000.0,10+ years,top executive,RENT,673.27,30000,debt_consolidation,60 months,0.1239,4430.0,133.0,279.0,6.0,6.0,2,11.0,8.0,10.0,15.0,0.0,3.0,18,60.0,0,41,70884.0,Fully Paid
7817,NY,65000.0,10+ years,top executive,MORTGAGE,219.91,6000,small_business,36 months,0.1899,25158.0,120.0,253.0,3.0,3.0,4,0.0,16.0,6.0,7.0,0.0,1.0,9,71.4,0,29,45052.0,Fully Paid
7818,RI,35000.0,9 years,concierge,RENT,335.69,10000,moving,36 months,0.1274,1751.0,143.0,133.0,10.0,10.0,0,40.0,7.0,4.0,10.0,0.0,1.0,12,60.0,0,20,21015.0,Charged Off
7819,GA,39000.0,5 years,lieutenant,MORTGAGE,149.86,4750,debt_consolidation,36 months,0.0846,7375.0,101.0,82.0,5.0,1.0,1,0.0,2.0,18.0,3.0,0.0,5.0,16,0.0,0,23,56111.0,Fully Paid
7820,NJ,190000.0,< 1 year,compliance,OWN,869.66,35000,debt_consolidation,60 months,0.1699,24782.0,136.0,181.0,3.0,3.0,3,9.0,18.0,26.0,20.0,0.0,9.0,29,16.7,1,73,162635.0,Fully Paid
7821,MI,82521.6,2 years,contract staff,MORTGAGE,171.24,5500,debt_consolidation,36 months,0.0756,36807.0,182.0,126.0,2.0,2.0,4,0.0,9.0,54.0,7.0,0.0,1.0,12,16.7,0,71,237197.0,Fully Paid
7822,FL,150000.0,1 year,top executive,OWN,733.77,22000,debt_consolidation,36 months,0.1229,39221.0,33.0,320.0,20.0,20.0,1,0.0,9.0,1.0,9.0,0.0,0.0,10,100.0,0,17,313765.0,Charged Off
7823,IN,105000.0,5 years,nurse,MORTGAGE,591.95,18000,debt_consolidation,36 months,0.1131,9482.0,171.0,375.0,2.0,2.0,1,60.0,8.0,12.0,14.0,0.0,4.0,24,20.0,1,33,83451.0,Fully Paid
7824,NY,175000.0,10+ years,top executive,MORTGAGE,987.72,30000,debt_consolidation,36 months,0.1139,45181.0,160.0,390.0,12.0,12.0,7,0.0,9.0,10.0,9.0,0.0,2.0,11,50.0,0,32,35998.0,Fully Paid
7825,OH,52000.0,6 years,manager,MORTGAGE,392.76,14975,debt_consolidation,60 months,0.1952,14563.0,133.0,129.0,17.0,12.0,3,0.0,6.0,15.0,8.0,0.0,1.0,12,75.0,0,32,69603.0,Fully Paid
7826,MA,93000.0,3 years,bdo usa llp,MORTGAGE,753.51,20000,debt_consolidation,36 months,0.21,2704.0,129.0,115.0,3.0,3.0,0,0.0,14.0,15.0,11.0,0.0,5.0,16,14.3,0,33,43264.0,Fully Paid
7827,VA,82000.0,1 year,admin officer/administrator,RENT,507.38,15500,debt_consolidation,36 months,0.1099,2790.0,139.0,130.0,39.0,39.0,2,22.0,5.0,1.0,5.0,0.0,0.0,5,66.7,0,15,13950.0,Fully Paid
7828,NY,56000.0,10+ years,porter,MORTGAGE,479.06,20000,home_improvement,60 months,0.1531,42745.0,65.0,169.0,24.0,24.0,2,0.0,7.0,2.0,5.0,0.0,0.0,7,80.0,0,12,38297.0,Fully Paid
7829,OK,100000.0,10+ years,sales rep,MORTGAGE,637.27,30000,debt_consolidation,60 months,0.0999,33519.0,149.0,189.0,36.0,6.0,8,0.0,4.0,21.0,5.0,0.0,2.0,8,0.0,0,35,58037.0,Fully Paid
7830,IL,107000.0,10+ years,manager,RENT,850.95,35000,debt_consolidation,60 months,0.1599,3372.0,161.0,159.0,14.0,14.0,0,0.0,16.0,19.0,17.0,0.0,0.0,22,61.5,0,40,70818.0,Charged Off
7831,FL,70000.0,8 years,cce,RENT,67.14,2000,credit_card,36 months,0.1274,185.0,134.0,195.0,24.0,8.0,0,0.0,12.0,4.0,5.0,0.0,2.0,5,0.0,1,19,926.0,Fully Paid
7832,TX,30000.0,2 years,logistics,OWN,485.1,13800,debt_consolidation,36 months,0.1599,20388.0,126.0,120.0,24.0,8.0,1,19.0,4.0,1.0,3.0,0.0,1.0,4,0.0,0,11,5603.0,Fully Paid
7834,VA,125000.0,8 years,service man,MORTGAGE,543.83,21000,credit_card,60 months,0.1892,33340.0,137.0,150.0,20.0,11.0,5,0.0,8.0,25.0,9.0,0.0,1.0,13,100.0,0,45,95955.0,Charged Off
7835,NV,180000.0,8 years,manager,MORTGAGE,1086.96,35000,home_improvement,36 months,0.0739,53433.0,81.0,120.0,1.0,1.0,3,0.0,9.0,6.0,4.0,0.0,2.0,5,0.0,0,19,650.0,Fully Paid
7836,NV,50431.0,10+ years,don,MORTGAGE,772.16,22000,debt_consolidation,36 months,0.1588,15242.0,55.0,209.0,4.0,4.0,6,0.0,11.0,3.0,6.0,0.0,4.0,8,100.0,0,24,28442.0,Fully Paid
7837,MA,70000.0,10+ years,director,MORTGAGE,659.24,20000,debt_consolidation,36 months,0.1147,5090.0,76.0,152.0,4.0,4.0,0,11.0,10.0,5.0,9.0,0.0,1.0,13,60.0,0,24,66170.0,Fully Paid
7838,WA,65000.0,9 years,technician,MORTGAGE,283.28,12000,debt_consolidation,60 months,0.1465,43073.0,157.0,247.0,7.0,6.0,5,0.0,14.0,15.0,4.0,0.0,3.0,7,0.0,1,42,40464.0,Fully Paid
7839,MN,50000.0,2 years,rdh,RENT,241.69,7725,credit_card,36 months,0.0789,4262.0,116.0,153.0,6.0,6.0,0,12.0,4.0,12.0,12.0,0.0,1.0,18,25.0,0,28,72447.0,Fully Paid
7840,NY,75000.0,7 years,driver,RENT,503.18,15000,debt_consolidation,36 months,0.1269,4123.0,132.0,157.0,8.0,8.0,5,0.0,20.0,4.0,10.0,0.0,2.0,12,50.0,1,45,41231.0,Charged Off
7842,OK,55080.0,10+ years,research associate ii,MORTGAGE,434.96,20250,debt_consolidation,60 months,0.1047,26048.0,176.0,92.0,35.0,15.0,5,0.0,4.0,10.0,4.0,0.0,0.0,8,25.0,0,20,48857.0,Fully Paid
7843,WA,60000.0,10+ years,manager,OWN,391.21,11500,debt_consolidation,36 months,0.1367,2048.0,74.0,351.0,34.0,5.0,0,35.0,8.0,3.0,6.0,0.0,1.0,7,50.0,0,14,12289.0,Fully Paid
7844,UT,60000.0,3 years,planner ii,MORTGAGE,251.19,10800,debt_consolidation,60 months,0.1398,19403.0,158.0,255.0,6.0,2.0,6,27.0,4.0,6.0,5.0,0.0,3.0,8,50.0,0,20,23186.0,Fully Paid
7845,RI,95000.0,3 years,professor,MORTGAGE,156.66,5000,home_improvement,36 months,0.0799,28098.0,164.0,207.0,58.0,4.0,9,8.0,10.0,30.0,5.0,1.0,1.0,14,25.0,0,52,117713.0,Fully Paid
7846,MI,50000.0,10+ years,operator,MORTGAGE,500.46,22000,debt_consolidation,60 months,0.1299,11268.0,156.0,174.0,13.0,13.0,3,0.0,8.0,8.0,11.0,0.0,0.0,13,40.0,0,26,146486.0,Charged Off
7847,CA,71000.0,1 year,sales rep,OWN,664.2,20000,debt_consolidation,36 months,0.1199,4098.0,102.0,104.0,4.0,4.0,0,0.0,5.0,3.0,8.0,0.0,2.0,10,66.7,0,15,36879.0,Fully Paid
7848,CA,54204.0,2 years,lead payroll tech,RENT,461.34,13500,debt_consolidation,36 months,0.1399,5071.0,112.0,110.0,4.0,4.0,0,0.0,4.0,7.0,8.0,0.0,3.0,12,100.0,0,16,60853.0,Fully Paid
7849,NY,93000.0,4 years,sales rep,MORTGAGE,213.89,6000,debt_consolidation,36 months,0.1699,20881.0,175.0,335.0,3.0,3.0,6,11.0,14.0,6.0,10.0,0.0,2.0,14,66.7,0,44,56378.0,Fully Paid
7850,AL,76000.0,10+ years,top executive,MORTGAGE,352.85,15000,home_improvement,60 months,0.1449,11383.0,134.0,291.0,0.0,0.0,4,0.0,11.0,7.0,5.0,0.0,4.0,7,0.0,1,33,17855.0,Fully Paid
7851,KS,14500.0,10+ years,educator,RENT,111.14,3500,credit_card,36 months,0.089,1740.0,148.0,356.0,10.0,10.0,0,53.0,16.0,18.0,6.0,0.0,1.0,7,0.0,0,38,12180.0,Fully Paid
7853,CA,28000.0,< 1 year,compliance,RENT,270.25,8000,debt_consolidation,36 months,0.1318,3049.0,64.0,57.0,37.0,30.0,0,16.0,3.0,5.0,8.0,0.0,0.0,12,0.0,0,15,36587.0,Fully Paid
7854,TN,80000.0,1 year,analyst,MORTGAGE,1086.96,35000,major_purchase,36 months,0.0739,6831.0,219.0,128.0,3.0,3.0,1,49.0,23.0,9.0,19.0,0.0,1.0,21,7.7,0,44,35546.0,Fully Paid
7855,NC,35527.0,10+ years,manager,RENT,160.15,5000,debt_consolidation,36 months,0.0949,3227.0,109.0,124.0,35.0,24.0,0,0.0,5.0,7.0,5.0,0.0,0.0,6,33.3,0,17,16135.0,Fully Paid
7857,GA,71000.0,2 years,consultant,RENT,339.79,10000,debt_consolidation,36 months,0.1359,1203.0,211.0,25.0,1.0,1.0,0,0.0,7.0,4.0,6.0,0.0,5.0,10,33.3,0,15,12034.0,Charged Off
7858,FL,75000.0,7 years,rn,RENT,534.72,15000,debt_consolidation,36 months,0.1699,1084.0,106.0,131.0,3.0,3.0,0,15.0,10.0,5.0,17.0,0.0,4.0,18,40.0,0,35,18427.0,Fully Paid
7859,TN,175000.0,3 years,director,RENT,379.07,10000,other,36 months,0.2145,9184.0,142.0,463.0,5.0,4.0,2,0.0,13.0,7.0,13.0,0.0,3.0,17,54.5,0,33,146958.0,Fully Paid
7860,CA,44000.0,10+ years,pacific pulmonary services,MORTGAGE,320.47,9600,credit_card,36 months,0.1235,15798.0,235.0,196.0,67.0,4.0,2,30.0,12.0,7.0,9.0,0.0,2.0,11,100.0,0,22,9684.0,Fully Paid
7861,WA,170000.0,10+ years,manager,RENT,503.16,16000,credit_card,36 months,0.0824,8409.0,209.0,137.0,50.0,4.0,1,25.0,3.0,7.0,3.0,0.0,1.0,5,50.0,0,13,33636.0,Charged Off
7862,CA,25000.0,2 years,office coordinator,RENT,108.45,3000,other,36 months,0.1799,3326.0,21.0,40.0,6.0,6.0,0,9.0,4.0,1.0,5.0,0.0,1.0,6,25.0,0,6,19954.0,Fully Paid
7863,OH,71900.0,10+ years,manager,MORTGAGE,843.53,35000,debt_consolidation,60 months,0.1559,14133.0,165.0,189.0,18.0,18.0,1,0.0,5.0,8.0,11.0,0.0,0.0,14,100.0,0,21,46857.0,Fully Paid
7864,OH,225000.0,10+ years,attorney (managing partner),MORTGAGE,893.35,35000,debt_consolidation,60 months,0.1824,27098.0,143.0,212.0,2.0,2.0,3,67.0,12.0,3.0,17.0,0.0,2.0,21,55.6,0,29,74635.0,Fully Paid
7865,MI,75000.0,< 1 year,customer service,MORTGAGE,148.5,4000,home_improvement,36 months,0.1992,13127.0,84.0,74.0,24.0,2.0,2,0.0,2.0,7.0,6.0,0.0,2.0,11,50.0,0,16,64664.0,Charged Off
7866,NY,63945.0,4 years,manager,RENT,878.71,35000,debt_consolidation,60 months,0.1747,5926.0,26.0,59.0,14.0,3.0,0,0.0,7.0,5.0,9.0,0.0,3.0,14,0.0,0,17,82958.0,Charged Off
7868,MS,45000.0,6 years,nurse,RENT,358.27,16000,debt_consolidation,60 months,0.1229,4904.0,187.0,144.0,30.0,16.0,0,59.0,7.0,10.0,8.0,0.0,0.0,11,0.0,0,23,53949.0,Fully Paid
7869,TN,130000.0,2 years,manager,MORTGAGE,1184.86,35000,debt_consolidation,36 months,0.1333,26671.0,123.0,91.0,11.0,7.0,2,0.0,2.0,9.0,5.0,0.0,2.0,8,0.0,1,17,60194.0,Fully Paid
7870,TX,74158.0,1 year,project coordinator,MORTGAGE,1197.61,32875,debt_consolidation,36 months,0.1855,23205.0,149.0,248.0,49.0,42.0,6,11.0,10.0,3.0,7.0,0.0,0.0,9,100.0,0,27,45798.0,Fully Paid
7871,VA,120000.0,6 years,attorney,MORTGAGE,329.24,10000,home_improvement,36 months,0.1139,56353.0,210.0,155.0,9.0,3.0,7,32.0,12.0,27.0,9.0,0.0,3.0,15,0.0,0,51,194424.0,Fully Paid
7872,AK,56502.0,2 years,ICT expert,MORTGAGE,208.91,6000,credit_card,36 months,0.1531,21852.0,232.0,295.0,7.0,7.0,2,0.0,6.0,13.0,3.0,0.0,2.0,15,100.0,0,23,99216.0,Fully Paid
7873,IL,23040.0,10+ years,customer service,RENT,258.37,7350,debt_consolidation,36 months,0.1599,803.0,132.0,154.0,8.0,8.0,0,0.0,6.0,2.0,14.0,0.0,2.0,14,80.0,1,21,10433.0,Fully Paid
7874,NJ,90000.0,4 years,analyst,RENT,421.92,14075,other,60 months,0.2606,4016.0,14.0,185.0,15.0,4.0,0,0.0,29.0,3.0,21.0,0.0,2.0,24,61.1,0,39,96393.0,Charged Off
7875,TX,48600.0,5 years,sales rep,RENT,164.13,4275,debt_consolidation,36 months,0.2239,5009.0,183.0,47.0,23.0,8.0,0,0.0,2.0,9.0,4.0,0.0,3.0,6,0.0,0,14,30053.0,Charged Off
7876,HI,75000.0,10+ years,prison staff,RENT,811.61,30000,debt_consolidation,60 months,0.21,8746.0,123.0,124.0,5.0,5.0,0,53.0,19.0,27.0,5.0,0.0,4.0,9,50.0,0,50,78717.0,Fully Paid
7877,MA,92000.0,3 years,manager,MORTGAGE,368.9,16000,credit_card,60 months,0.1359,1764.0,150.0,43.0,0.0,0.0,0,0.0,7.0,12.0,14.0,0.0,6.0,16,20.0,0,33,28225.0,Fully Paid
7878,UT,46500.0,2 years,ICT expert,MORTGAGE,356.73,9600,credit_card,36 months,0.1999,18854.0,127.0,243.0,6.0,6.0,3,0.0,2.0,11.0,9.0,0.0,4.0,12,100.0,0,25,50469.0,Fully Paid
7879,IL,60000.0,2 years,nurse,MORTGAGE,289.34,12000,debt_consolidation,60 months,0.1561,8487.0,85.0,113.0,23.0,14.0,1,9.0,11.0,5.0,13.0,1.0,0.0,17,71.4,0,32,34426.0,Fully Paid
7880,KS,82500.0,10+ years,director,MORTGAGE,533.95,21000,debt_consolidation,60 months,0.1806,7884.0,177.0,373.0,20.0,4.0,0,49.0,5.0,15.0,8.0,0.0,1.0,9,60.0,0,26,70957.0,Charged Off
7881,MN,44000.0,< 1 year,carpenter,RENT,228.96,6700,debt_consolidation,36 months,0.1399,1910.0,155.0,223.0,13.0,13.0,0,81.0,4.0,3.0,3.0,0.0,0.0,4,100.0,2,11,7640.0,Fully Paid
7882,VT,105000.0,2 years,supervisor,MORTGAGE,367.57,12000,debt_consolidation,36 months,0.0646,34085.0,166.0,225.0,13.0,13.0,1,5.0,9.0,2.0,6.0,0.0,0.0,7,33.3,0,13,20808.0,Fully Paid
7883,MI,80000.0,10+ years,associate professor,OWN,1157.0,35000,credit_card,36 months,0.1167,11914.0,146.0,223.0,19.0,9.0,3,27.0,24.0,16.0,8.0,0.0,2.0,12,40.0,0,52,99934.0,Fully Paid
7884,CA,265000.0,10+ years,director,MORTGAGE,743.48,35000,debt_consolidation,60 months,0.0999,144469.0,131.0,263.0,6.0,6.0,6,0.0,5.0,5.0,4.0,0.0,2.0,8,100.0,0,24,94538.0,Fully Paid
7885,FL,124000.0,2 years,medical,OWN,961.25,25000,home_improvement,36 months,0.225,3739.0,160.0,117.0,2.0,2.0,1,0.0,16.0,7.0,26.0,0.0,11.0,30,7.7,0,40,112181.0,Charged Off
7886,OH,75000.0,4 years,clerk,MORTGAGE,332.1,10000,home_improvement,36 months,0.1199,4747.0,207.0,379.0,6.0,6.0,2,9.0,10.0,4.0,10.0,0.0,1.0,11,50.0,0,24,52217.0,Charged Off
7888,CA,67000.0,2 years,manager,RENT,395.66,12000,debt_consolidation,36 months,0.1149,13188.0,123.0,121.0,107.0,8.0,0,5.0,7.0,7.0,3.0,0.0,1.0,6,66.7,0,15,79130.0,Fully Paid
7889,IL,85000.0,4 years,manager,MORTGAGE,467.91,15000,debt_consolidation,36 months,0.0769,22206.0,119.0,159.0,1.0,1.0,1,0.0,9.0,11.0,5.0,0.0,4.0,10,0.0,0,28,35149.0,Fully Paid
7891,MD,47000.0,5 years,minister of music,RENT,649.22,16550,debt_consolidation,36 months,0.2399,7784.0,146.0,141.0,22.0,14.0,0,0.0,7.0,8.0,5.0,0.0,0.0,8,100.0,0,17,62268.0,Fully Paid
7893,IN,70000.0,10+ years,manager,MORTGAGE,230.74,7000,debt_consolidation,36 months,0.1147,17958.0,148.0,246.0,4.0,4.0,6,26.0,13.0,5.0,6.0,0.0,5.0,8,33.3,0,29,17444.0,Fully Paid
7894,MT,76500.0,1 year,manager,MORTGAGE,372.45,12000,credit_card,36 months,0.0735,28004.0,139.0,208.0,17.0,5.0,6,0.0,9.0,14.0,6.0,0.0,1.0,9,50.0,0,35,63777.0,Fully Paid
7895,TX,45000.0,10+ years,contract staff,MORTGAGE,234.95,7000,debt_consolidation,36 months,0.1273,6422.0,129.0,147.0,3.0,3.0,3,35.0,7.0,16.0,11.0,0.0,6.0,15,0.0,0,44,17618.0,Fully Paid
7896,CO,110000.0,2 years,sales rep,MORTGAGE,1045.51,33800,credit_card,36 months,0.0712,22024.0,186.0,121.0,8.0,8.0,2,79.0,7.0,4.0,13.0,0.0,3.0,16,33.3,1,20,37697.0,Fully Paid
7897,OH,45000.0,10+ years,pc specialist,MORTGAGE,531.67,21000,credit_card,60 months,0.1786,11953.0,125.0,163.0,3.0,3.0,3,67.0,13.0,9.0,15.0,0.0,1.0,19,100.0,0,43,88748.0,Charged Off
7899,VA,120000.0,1 year,engineer,MORTGAGE,1091.78,35000,home_improvement,36 months,0.0769,37074.0,124.0,301.0,47.0,28.0,5,32.0,20.0,11.0,11.0,0.0,0.0,14,0.0,0,46,30366.0,Fully Paid
7900,FL,50000.0,< 1 year,manager,RENT,156.66,5000,credit_card,36 months,0.0799,7495.0,154.0,122.0,17.0,17.0,0,32.0,8.0,15.0,5.0,0.0,0.0,10,0.0,0,29,74951.0,Fully Paid
7901,NY,190000.0,3 years,human resources,MORTGAGE,535.47,15000,debt_consolidation,36 months,0.1709,22336.0,167.0,86.0,0.0,0.0,2,8.0,3.0,8.0,21.0,1.0,4.0,25,66.7,0,32,73807.0,Charged Off
7903,IN,34000.0,10+ years,school staff,MORTGAGE,160.87,5000,debt_consolidation,36 months,0.098,5063.0,195.0,189.0,7.0,7.0,0,24.0,12.0,20.0,12.0,0.0,3.0,17,0.0,0,51,81008.0,Fully Paid
7904,NV,91000.0,10+ years,analyst,MORTGAGE,1000.68,30350,debt_consolidation,36 months,0.1149,42600.0,218.0,229.0,30.0,2.0,3,57.0,6.0,6.0,7.0,0.0,1.0,11,50.0,0,19,43041.0,Fully Paid
7906,GA,90000.0,< 1 year,account executive,MORTGAGE,403.9,12250,debt_consolidation,36 months,0.1149,27485.0,147.0,124.0,4.0,4.0,4,40.0,6.0,17.0,8.0,0.0,3.0,17,33.3,0,32,120700.0,Charged Off
7907,TX,151800.0,7 years,manager,RENT,1347.38,40000,credit_card,36 months,0.1298,5783.0,170.0,379.0,27.0,2.0,0,0.0,27.0,4.0,23.0,0.0,1.0,24,100.0,0,38,138792.0,Fully Paid
7908,FL,39000.0,10+ years,editor/qa,RENT,191.28,6000,credit_card,36 months,0.0917,1046.0,61.0,116.0,19.0,19.0,0,0.0,8.0,1.0,8.0,0.0,0.0,8,14.3,0,10,8368.0,Charged Off
7909,MA,104000.0,5 years,professional specialist,RENT,708.05,30000,credit_card,60 months,0.1464,7542.0,139.0,205.0,19.0,6.0,0,0.0,13.0,21.0,8.0,0.0,1.0,17,66.7,0,38,128214.0,Fully Paid
7910,CA,35000.0,5 years,medical,RENT,609.31,17500,debt_consolidation,36 months,0.1531,1715.0,125.0,190.0,6.0,6.0,0,0.0,10.0,3.0,11.0,0.0,1.0,11,14.3,0,22,18866.0,Fully Paid
7911,MS,70000.0,10+ years,opt,MORTGAGE,461.85,20000,debt_consolidation,60 months,0.1366,8109.0,159.0,210.0,2.0,2.0,3,0.0,9.0,8.0,8.0,0.0,3.0,10,16.7,0,25,25757.0,Fully Paid
7912,CA,112000.0,10+ years,sales rep,MORTGAGE,964.5,30000,debt_consolidation,36 months,0.0975,34279.0,138.0,169.0,3.0,3.0,4,0.0,11.0,3.0,9.0,0.0,5.0,13,33.3,0,25,120575.0,Fully Paid
7913,VA,98500.0,10+ years,manager,MORTGAGE,135.68,4200,debt_consolidation,36 months,0.1008,23427.0,155.0,180.0,4.0,4.0,4,0.0,10.0,9.0,11.0,0.0,1.0,14,25.0,0,26,66076.0,Fully Paid
7915,NJ,150000.0,10+ years,ICT expert,MORTGAGE,870.45,26400,debt_consolidation,36 months,0.1149,21358.0,156.0,201.0,6.0,6.0,1,0.0,14.0,8.0,11.0,0.0,1.0,15,12.5,0,29,78221.0,Fully Paid
7916,OH,72000.0,10+ years,paramedical,MORTGAGE,377.23,14900,debt_consolidation,60 months,0.1786,7529.0,139.0,228.0,1.0,1.0,4,0.0,10.0,7.0,11.0,0.0,5.0,15,50.0,0,34,112940.0,Charged Off
